id,name,kana,description,rarity,group_id,group_rate,grade_value,category,tag_id,icon_id,need_skill_point,detail_url,icon_url
413011,スターダムを目指して！,スターダムヲメザシテ！,前のウマ娘のすぐ後ろに付けるか\n先頭ですぐ後ろにウマ娘が長くいると\n速度がすごく上がる,6,41301,1,633,4,401/813,20346,,https://xn--gck1f423k.xn--1bvt37a.tools/skills/413011,https://static.kouryaku.tools/umamusume/images/skills/20346/icon.png?width=96&height=96
413021,新しい夢への旅路,アタラシイユメヘノタビジ,レース中盤に追い抜くか先頭にいると\n速度が上がる、その後最終盤始めの方で\nラストスパートの最中なら\n速度がわずかに上がる,6,41302,1,633,2,302/303/401/813,20346,,https://xn--gck1f423k.xn--1bvt37a.tools/skills/413021,https://static.kouryaku.tools/umamusume/images/skills/20346/icon.png?width=96&height=96
413031,Turn the tables!,ターンザテーブル,レース中盤にしばらくの間速度が上がる\n＜ダート＞,6,41303,1,633,2,302/401/502/813,20346,,https://xn--gck1f423k.xn--1bvt37a.tools/skills/413031,https://static.kouryaku.tools/umamusume/images/skills/20346/icon.png?width=96&height=96
413041,世界を魅せる輝き,セカイヲミセルカガヤキ,レース最終盤始めの方で\nラストスパートの最中なら\n速度がすごく上がる,6,41304,1,633,3,303/401/813,20346,,https://xn--gck1f423k.xn--1bvt37a.tools/skills/413041,https://static.kouryaku.tools/umamusume/images/skills/20346/icon.png?width=96&height=96
413051,激アツ☆ロードマップ,ゲキアツ☆ロードマップ,レース中盤に速度がすごく上がる\n＜中距離/長距離＞,6,41305,1,633,2,203/204/302/401/813,20346,,https://xn--gck1f423k.xn--1bvt37a.tools/skills/413051,https://static.kouryaku.tools/umamusume/images/skills/20346/icon.png?width=96&height=96
200011,右回り◎,ミギマワリ◎,右回りコースが得意になる,1,20001,2,174,0,401/608,10011,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200011,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200012,右回り○,ミギマワリ○,右回りコースが少し得意になる,1,20001,1,129,0,401/608,10011,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200012,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200013,右回り×,ミギマワリ×,右回りコースが少し苦手になる,1,20001,-1,-129,0,401,10014,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200013,https://static.kouryaku.tools/umamusume/images/skills/10014/icon.png?width=96&height=96
200014,右回りの鬼,ミギマワリノオニ,右回りコースが得意になり\nスピードとパワーが上昇する,2,20001,3,461,0,401/403/608,10012,130,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200014,https://static.kouryaku.tools/umamusume/images/skills/10012/icon.png?width=96&height=96
200021,左回り◎,ヒダリマワリ◎,左回りコースが得意になる,1,20002,2,174,0,401/608,10011,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200021,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200022,左回り○,ヒダリマワリ○,左回りコースが少し得意になる,1,20002,1,129,0,401/608,10011,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200022,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200023,左回り×,ヒダリマワリ×,左回りコースが少し苦手になる,1,20002,-1,-129,0,401,10014,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200023,https://static.kouryaku.tools/umamusume/images/skills/10014/icon.png?width=96&height=96
200024,左回りの鬼,ヒダリマワリノオニ,左回りコースが得意になり\nスピードとパワーが上昇する,2,20002,3,461,0,401/403/608,10012,130,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200024,https://static.kouryaku.tools/umamusume/images/skills/10012/icon.png?width=96&height=96
200031,東京レース場◎,トウキョウレースジョウ◎,東京レース場が得意になる,1,20003,2,174,0,402/604,10021,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200031,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200032,東京レース場○,トウキョウレースジョウ○,東京レース場が少し得意になる,1,20003,1,129,0,402/604,10021,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200032,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200033,東京レース場×,トウキョウレースジョウ×,東京レース場が少し苦手になる,1,20003,-1,-129,0,402,10024,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200033,https://static.kouryaku.tools/umamusume/images/skills/10024/icon.png?width=96&height=96
200034,府中の申し子,フチュウノモウシゴ,東京レース場が得意になり\nスタミナ、賢さ、スピードが上昇する,2,20003,3,461,0,401/402/405/604,10022,130,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200034,https://static.kouryaku.tools/umamusume/images/skills/10022/icon.png?width=96&height=96
200041,中山レース場◎,ナカヤマレースジョウ◎,中山レース場が得意になる,1,20004,2,174,0,402/604,10021,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200041,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200042,中山レース場○,ナカヤマレースジョウ○,中山レース場が少し得意になる,1,20004,1,129,0,402/604,10021,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200042,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200043,中山レース場×,ナカヤマレースジョウ×,中山レース場が少し苦手になる,1,20004,-1,-129,0,402,10024,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200043,https://static.kouryaku.tools/umamusume/images/skills/10024/icon.png?width=96&height=96
200051,阪神レース場◎,ハンシンレースジョウ◎,阪神レース場が得意になる,1,20005,2,174,0,402/604,10021,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200051,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200052,阪神レース場○,ハンシンレースジョウ○,阪神レース場が少し得意になる,1,20005,1,129,0,402/604,10021,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200052,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200053,阪神レース場×,ハンシンレースジョウ×,阪神レース場が少し苦手になる,1,20005,-1,-129,0,402,10024,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200053,https://static.kouryaku.tools/umamusume/images/skills/10024/icon.png?width=96&height=96
200061,京都レース場◎,キョウトレースジョウ◎,京都レース場が得意になる,1,20006,2,174,0,402/604,10021,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200061,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200062,京都レース場○,キョウトレースジョウ○,京都レース場が少し得意になる,1,20006,1,129,0,402/604,10021,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200062,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200063,京都レース場×,キョウトレースジョウ×,京都レース場が少し苦手になる,1,20006,-1,-129,0,402,10024,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200063,https://static.kouryaku.tools/umamusume/images/skills/10024/icon.png?width=96&height=96
200064,淀の申し子,ヨドノモウシゴ,京都レース場が得意になり\nスタミナ、賢さ、スピードが上昇する,2,20006,3,461,0,401/402/405/604,10022,130,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200064,https://static.kouryaku.tools/umamusume/images/skills/10022/icon.png?width=96&height=96
200071,中京レース場◎,チュウキョウレースジョウ◎,中京レース場が得意になる,1,20007,2,174,0,402/604,10021,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200071,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200072,中京レース場○,チュウキョウレースジョウ○,中京レース場が少し得意になる,1,20007,1,129,0,402/604,10021,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200072,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200073,中京レース場×,チュウキョウレースジョウ×,中京レース場が少し苦手になる,1,20007,-1,-129,0,402,10024,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200073,https://static.kouryaku.tools/umamusume/images/skills/10024/icon.png?width=96&height=96
200081,札幌レース場◎,サッポロレースジョウ◎,札幌レース場が得意になる,1,20008,2,174,0,402/604,10021,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200081,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200082,札幌レース場○,サッポロレースジョウ○,札幌レース場が少し得意になる,1,20008,1,129,0,402/604,10021,70,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200082,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200083,札幌レース場×,サッポロレースジョウ×,札幌レース場が少し苦手になる,1,20008,-1,-129,0,402,10024,40,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200083,https://static.kouryaku.tools/umamusume/images/skills/10024/icon.png?width=96&height=96
200091,函館レース場◎,ハコダテレースジョウ◎,函館レース場が得意になる,1,20009,2,174,0,402/604,10021,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200091,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200092,函館レース場○,ハコダテレースジョウ○,函館レース場が少し得意になる,1,20009,1,129,0,402/604,10021,70,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200092,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200093,函館レース場×,ハコダテレースジョウ×,函館レース場が少し苦手になる,1,20009,-1,-129,0,402,10024,40,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200093,https://static.kouryaku.tools/umamusume/images/skills/10024/icon.png?width=96&height=96
200101,福島レース場◎,フクシマレースジョウ◎,福島レース場が得意になる,1,20010,2,174,0,402/604,10021,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200101,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200102,福島レース場○,フクシマレースジョウ○,福島レース場が少し得意になる,1,20010,1,129,0,402/604,10021,70,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200102,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200103,福島レース場×,フクシマレースジョウ×,福島レース場が少し苦手になる,1,20010,-1,-129,0,402,10024,40,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200103,https://static.kouryaku.tools/umamusume/images/skills/10024/icon.png?width=96&height=96
200111,新潟レース場◎,ニイガタレースジョウ◎,新潟レース場が得意になる,1,20011,2,174,0,402/604,10021,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200111,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200112,新潟レース場○,ニイガタレースジョウ○,新潟レース場が少し得意になる,1,20011,1,129,0,402/604,10021,70,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200112,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200113,新潟レース場×,ニイガタレースジョウ×,新潟レース場が少し苦手になる,1,20011,-1,-129,0,402,10024,40,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200113,https://static.kouryaku.tools/umamusume/images/skills/10024/icon.png?width=96&height=96
200121,小倉レース場◎,コクラレースジョウ◎,小倉レース場が得意になる,1,20012,2,174,0,402/604,10021,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200121,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200122,小倉レース場○,コクラレースジョウ○,小倉レース場が少し得意になる,1,20012,1,129,0,402/604,10021,70,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200122,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200123,小倉レース場×,コクラレースジョウ×,小倉レース場が少し苦手になる,1,20012,-1,-129,0,402,10024,40,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200123,https://static.kouryaku.tools/umamusume/images/skills/10024/icon.png?width=96&height=96
200131,根幹距離◎,コンカンキョリ◎,根幹距離（400mの倍数）が\n得意になる,1,20013,2,174,0,402/607,10021,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200131,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200132,根幹距離○,コンカンキョリ○,根幹距離（400mの倍数）が\n少し得意になる,1,20013,1,129,0,402/607,10021,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200132,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200133,根幹距離×,コンカンキョリ×,根幹距離（400mの倍数）が\n少し苦手になる,1,20013,-1,-129,0,402,10024,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200133,https://static.kouryaku.tools/umamusume/images/skills/10024/icon.png?width=96&height=96
200141,非根幹距離◎,ヒコンカンキョリ◎,非根幹距離（400mの倍数以外）が\n得意になる,1,20014,2,174,0,402/607,10021,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200141,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200142,非根幹距離○,ヒコンカンキョリ○,非根幹距離（400mの倍数以外）が\n少し得意になる,1,20014,1,129,0,402/607,10021,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200142,https://static.kouryaku.tools/umamusume/images/skills/10021/icon.png?width=96&height=96
200143,非根幹距離×,ヒコンカンキョリ×,非根幹距離（400mの倍数以外）が\n少し苦手になる,1,20014,-1,-129,0,402,10024,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200143,https://static.kouryaku.tools/umamusume/images/skills/10024/icon.png?width=96&height=96
200151,良バ場◎,リョウババ◎,「良」のバ場状態が得意になる,1,20015,2,174,0,403/601,10031,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200151,https://static.kouryaku.tools/umamusume/images/skills/10031/icon.png?width=96&height=96
200152,良バ場○,リョウババ○,「良」のバ場状態が少し得意になる,1,20015,1,129,0,403/601,10031,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200152,https://static.kouryaku.tools/umamusume/images/skills/10031/icon.png?width=96&height=96
200153,良バ場×,リョウババ×,「良」のバ場状態が少し苦手になる,1,20015,-1,-129,0,403,10034,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200153,https://static.kouryaku.tools/umamusume/images/skills/10034/icon.png?width=96&height=96
200154,良バ場の鬼,リョウババノオニ,「良」のバ場状態が得意になり\nパワーとスピードが上昇する,2,20015,3,461,0,401/403/601,10032,130,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200154,https://static.kouryaku.tools/umamusume/images/skills/10032/icon.png?width=96&height=96
200161,道悪◎,ミチワル◎,「稍重」「重」「不良」のバ場状態が\n得意になる,1,20016,2,174,0,403/601,10031,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200161,https://static.kouryaku.tools/umamusume/images/skills/10031/icon.png?width=96&height=96
200162,道悪○,ミチワル○,「稍重」「重」「不良」のバ場状態が\n少し得意になる,1,20016,1,129,0,403/601,10031,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200162,https://static.kouryaku.tools/umamusume/images/skills/10031/icon.png?width=96&height=96
200163,道悪×,ミチワル×,「稍重」「重」「不良」のバ場状態が\n少し苦手になる,1,20016,-1,-129,0,403,10034,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200163,https://static.kouryaku.tools/umamusume/images/skills/10034/icon.png?width=96&height=96
200164,道悪の鬼,ミチワルノオニ,「稍重」「重」「不良」のバ場状態が\n得意になりパワーとスピードが上昇する,2,20016,3,461,0,401/403/601,10032,130,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200164,https://static.kouryaku.tools/umamusume/images/skills/10032/icon.png?width=96&height=96
200171,春ウマ娘◎,ハルウマムスメ◎,春のレースが得意になる,1,20017,2,174,0,401/603,10011,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200171,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200172,春ウマ娘○,ハルウマムスメ○,春のレースが少し得意になる,1,20017,1,129,0,401/603,10011,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200172,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200173,春ウマ娘×,ハルウマムスメ×,春のレースが少し苦手になる,1,20017,-1,-129,0,401,10014,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200173,https://static.kouryaku.tools/umamusume/images/skills/10014/icon.png?width=96&height=96
200174,春一番,ハルイチバン,春のレースが得意になり\nスピードとパワーが上昇する,2,20017,3,461,0,401/403/603,10012,130,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200174,https://static.kouryaku.tools/umamusume/images/skills/10012/icon.png?width=96&height=96
200181,夏ウマ娘◎,ナツウマムスメ◎,夏のレースが得意になる,1,20018,2,174,0,401/603,10011,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200181,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200182,夏ウマ娘○,ナツウマムスメ○,夏のレースが少し得意になる,1,20018,1,129,0,401/603,10011,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200182,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200183,夏ウマ娘×,ナツウマムスメ×,夏のレースが少し苦手になる,1,20018,-1,-129,0,401,10014,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200183,https://static.kouryaku.tools/umamusume/images/skills/10014/icon.png?width=96&height=96
200184,青嵐,アオアラシ,夏のレースが得意になり\nスピードとパワーが上昇する,2,20018,3,461,0,401/403/603,10012,130,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200184,https://static.kouryaku.tools/umamusume/images/skills/10012/icon.png?width=96&height=96
200191,秋ウマ娘◎,アキウマムスメ◎,秋のレースが得意になる,1,20019,2,174,0,401/603,10011,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200191,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200192,秋ウマ娘○,アキウマムスメ○,秋のレースが少し得意になる,1,20019,1,129,0,401/603,10011,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200192,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200193,秋ウマ娘×,アキウマムスメ×,秋のレースが少し苦手になる,1,20019,-1,-129,0,401,10014,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200193,https://static.kouryaku.tools/umamusume/images/skills/10014/icon.png?width=96&height=96
200194,初嵐,ハツアラシ,秋のレースが得意になり\nスピードとパワーが上昇する,2,20019,3,461,0,401/403/603,10012,130,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200194,https://static.kouryaku.tools/umamusume/images/skills/10012/icon.png?width=96&height=96
200201,冬ウマ娘◎,フユウマムスメ◎,冬のレースが得意になる,1,20020,2,174,0,401/603,10011,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200201,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200202,冬ウマ娘○,フユウマムスメ○,冬のレースが少し得意になる,1,20020,1,129,0,401/603,10011,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200202,https://static.kouryaku.tools/umamusume/images/skills/10011/icon.png?width=96&height=96
200203,冬ウマ娘×,フユウマムスメ×,冬のレースが少し苦手になる,1,20020,-1,-129,0,401,10014,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200203,https://static.kouryaku.tools/umamusume/images/skills/10014/icon.png?width=96&height=96
200204,凍て風,イテカゼ,冬のレースが得意になり\nスピードとパワーが上昇する,2,20020,3,461,0,401/403/603,10012,130,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200204,https://static.kouryaku.tools/umamusume/images/skills/10012/icon.png?width=96&height=96
200211,晴れの日◎,ハレノヒ◎,晴れの日のレースが得意になる,1,20021,2,174,0,404/602,10041,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200211,https://static.kouryaku.tools/umamusume/images/skills/10041/icon.png?width=96&height=96
200212,晴れの日○,ハレノヒ○,晴れの日のレースが少し得意になる,1,20021,1,129,0,404/602,10041,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200212,https://static.kouryaku.tools/umamusume/images/skills/10041/icon.png?width=96&height=96
200221,曇りの日◎,クモリノヒ◎,曇りの日のレースが得意になる,1,20022,2,174,0,404/602,10041,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200221,https://static.kouryaku.tools/umamusume/images/skills/10041/icon.png?width=96&height=96
200222,曇りの日○,クモリノヒ○,曇りの日のレースが少し得意になる,1,20022,1,129,0,404/602,10041,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200222,https://static.kouryaku.tools/umamusume/images/skills/10041/icon.png?width=96&height=96
200231,雨の日◎,アメノヒ◎,雨の日のレースが得意になる,1,20023,2,174,0,404/602,10041,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200231,https://static.kouryaku.tools/umamusume/images/skills/10041/icon.png?width=96&height=96
200232,雨の日○,アメノヒ○,雨の日のレースが少し得意になる,1,20023,1,129,0,404/602,10041,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200232,https://static.kouryaku.tools/umamusume/images/skills/10041/icon.png?width=96&height=96
200233,雨の日×,アメノヒ×,雨の日のレースが少し苦手になる,1,20023,-1,-129,0,404,10044,50,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200233,https://static.kouryaku.tools/umamusume/images/skills/10044/icon.png?width=96&height=96
200241,雪の日◎,ユキノヒ◎,雪の日のレースが得意になる,1,20024,2,174,0,404/602,10041,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200241,https://static.kouryaku.tools/umamusume/images/skills/10041/icon.png?width=96&height=96
200242,雪の日○,ユキノヒ○,雪の日のレースが少し得意になる,1,20024,1,129,0,404/602,10041,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200242,https://static.kouryaku.tools/umamusume/images/skills/10041/icon.png?width=96&height=96
200251,内枠得意◎,ウチワクトクイ◎,枠番が1～3のレースが得意になる,1,20025,2,174,0,405/609,10051,110,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200251,https://static.kouryaku.tools/umamusume/images/skills/10051/icon.png?width=96&height=96
200252,内枠得意○,ウチワクトクイ○,枠番が1～3のレースが少し得意になる,1,20025,1,129,0,405/609,10051,90,https://xn--gck1f423k.xn--1bvt37a.tools/skills/200252,https://static.kouryaku.tools/umamusume/images/skills/10051/icon.png?width=96&height=96
